
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName          
-------  ------    -----      -----     ------     --  -- -----------          
     93       5     1128       5004       1.14   1652   1 CExecSvc             
     39       3     1556       2620       0.05   2004   1 cmd                  
    229      11     1824       4296       1.09    496   1 csrss                
      0       0        0          4                 0   0 Idle                 
    815      20     5180      13408       2.45   1040   1 lsass                
    188      12     2312       9220       0.50   3024   1 msdtc                
   1234      50    74448      90708      35.22   2104   1 powershell           
    461      33    47300      53280       7.88   2560   1 powershell           
    203       8     2240       6272       2.41    488   1 services             
     48       2      352       1160       9.23    252   0 smss                 
    474      39    38408      45008       8.77   2016   1 sqlceip              
    768     102   367840      88420      82.38   1760   1 sqlservr             
    110       9     1740       8112       0.25   1776   1 sqlwriter            
    286      12     2312       8976       1.89   1120   1 svchost              
    262      14     2100       7284       0.55   1152   1 svchost              
    271      13     2624      10484       0.63   1324   1 svchost              
    295      14     5920      11308       1.56   1352   1 svchost              
    806      32    11608      30004      32.42   1392   1 svchost              
    208      16     3828      10804       1.13   1404   1 svchost              
    487      33     5612      18024      17.53   1504   1 svchost              
    333      17     5768      15924       2.78   1604   1 svchost              
     89       6     1032       5384       0.05   1628   1 svchost              
   2607       0      128        140      35.61      4   0 System               
     91       8      892       5116       0.63    696   1 wininit              
    140       9     1424       7576       0.48   2440   1 WmiApSrv             


